Debian_Package,Debian_Source,openhub_name,cve_keyword,bug_tracker,Debian_Description,Debian_Install,direct_network_exposure,process_network_data,potential_privilege_escalation,comment_on_priority,comments
dc,bc (1.06.95-2),,bc,, The GNU dc arbitrary precision reverse-polish calculator,Standard System Utilities,0,0,0,Use relatively rare.  Unlikely to process data from attacker.,
debconf,,debconf,debconf,, Debian configuration management system,Standard System Utilities,0,0,0,,
debconf-i18n,debconf,debconf,debconf,, full internationalization support for debconf,Standard System Utilities,0,0,0,,
debian-archive-keyring,,,debian keyring,, GnuPG archive keys of the Debian archive,Standard System Utilities,0,0,0,,
debian-faq,,,,, Debian FAQ,Standard System Utilities,0,0,0,,
debianutils,,debian-installer-utils,debianutils,, Miscellaneous utilities specific to Debian,Standard System Utilities,0,0,0,"Collection of small tools.The tempfile(1) command is security-relevant (temp file mistakes are a common security vulnerability) but is relatively small, and usually the problem is a failure to use tempfile(1) or similar.",
dictionaries-common,,dict-common,dict-common,, Common utilities for spelling dictionary tools,Standard System Utilities,0,0,0,,
diffutils,,diffutils,diffutils,, File comparison utilities,Standard System Utilities,0,0,0,,
discover,,,discover,, hardware identification system,Standard System Utilities,0,0,0,"Conceivably a local exploit opportunity, but not likely.",
discover-data,,,discover-data,, Data lists for Discover hardware detection system,Standard System Utilities,0,0,0,,
dkms,,dkms-framework,dkms,, Dynamic Kernel Module Support Framework,Standard System Utilities,0,0,1,,
dmidecode,,dmidecode,dmidecode,, SMBIOS/DMI table decoder,Standard System Utilities,0,0,0,,
dmsetup,lvm2 (2.02.95-8),device-mapper,lvm2,, Linux Kernel Device Mapper userspace library,Standard System Utilities,0,0,0,,
dnsutils,bind9,bind,bind9,, Clients provided with BIND,Standard System Utilities,1,0,0,Bind9 is critical for security. It does have active development. ++,
doc-debian,,doc-debian,doc-debian,, Debian Project documentation and other documents,Standard System Utilities,0,0,0,,
dpkg,,dpkg,dpkg,, Debian package management system,Standard System Utilities,1,0,0,"Should primarily be managing data from trusted source; if it ensures data source okay, less risky.",
e2fslibs,e2fsprogs,e2fsprogs,e2fslibs,, ext2/ext3/ext4 file system libraries,Standard System Utilities,0,0,0,,
e2fsprogs,,e2fsprogs,e2fsprogs,, ext2/ext3/ext4 file system utilities,Standard System Utilities,0,0,0,,
eject,,eject,eject,, ejects CDs and operates CD-Changers under Linux,Standard System Utilities,0,0,0,,
exim4,,exim,exim4,, metapackage to ease Exim MTA (v4) installation,Standard System Utilities,1,0,0,"This is an MTA, thus has to process untrustworthy data.  Mailing lists, bugzilla tracker, public git repo. Active history of CVE issues and fixes. Active with 16 contributors in last year. ++",Exim may be used to contact network
exim4-base,exim4,exim,exim,, support files for all Exim MTA (v4) packages,Standard System Utilities,1,0,0,"This is an MTA, thus has to process untrustworthy data.  There are several MTA in use; should we focus on this one? ++",
exim4-config,exim4,exim,exim,, configuration for the Exim MTA (v4),Standard System Utilities,1,0,0,"This is an MTA, thus has to process untrustworthy data.  There are several MTA in use; should we focus on this one? ++",
exim4-daemon-light,exim4,exim,exim,, lightweight Exim MTA (v4) daemon,Standard System Utilities,1,0,0,"This is an MTA, thus has to process untrustworthy data.  There are several MTA in use; should we focus on this one? ++",
fakeroot,,6854,fakeroot,, tool for simulating superuser privileges,Standard System Utilities,0,0,0,,
file,,file,libmagic1,," Determines file type using ""magic"" numbers",Standard System Utilities,0,0,0,,
findutils,,findutils,findutils,," utilities for finding files--find, xargs",Standard System Utilities,0,0,0,,
ftp,netkit-ftp,,netkit-ftp,, classical file transfer client,Standard System Utilities,1,0,0,"Ftp isn't secure by itself, and the ftp client is less commonly used now.  That said, it certainly is used and connects to the wide Internet.",Extinct upstream per http://metadata.ftp-master.debian.org/changelogs//main/n/netkit-ftp/netkit-ftp_0.17-27_copyright and ftp://ftp.uk.linux.org/pub/linux/Networking/netkit/
gcc,gcc-defaults (1.120),gcc,gcc,, GNU C compiler,Standard System Utilities,0,0,0,,
gcc-4.6,,gcc,gcc,, GNU C compiler,Standard System Utilities,0,0,0,,
gcc-4.6-base,gcc-4.6,gcc,gcc,," GCC, the GNU Compiler Collection (base package)",Standard System Utilities,0,0,0,,
gcc-4.7,,gcc,gcc,, GNU C compiler,Standard System Utilities,0,0,0,,
gcc-4.7-base,gcc-4.7,gcc,gcc,," GCC, the GNU Compiler Collection (base package)",Standard System Utilities,0,0,0,,
geoip-database,,geoipdb,geoipdb,, IP lookup command line tools that use the GeoIP library (country database),Standard System Utilities,1,0,0,,
gettext-base,gettext,gettext,gettext,, GNU Internationalization utilities for the base system,Standard System Utilities,0,0,0,,
gnupg,,gnupg,gnupg,, GNU privacy guard - a free PGP replacement,Standard System Utilities,0,1,0,Vital for protecting email (CII has already invested with a one-time investment) ++,
gpgv,gnupg, gnupg,gnupg,, GNU privacy guard - signature verification tool,Standard System Utilities,0,1,0,Vital for protecting email (CII has already invested with a one-time investment) ++,
grep,,grep,grep,," GNU grep, egrep and fgrep",Standard System Utilities,0,0,0,,
groff-base,groff,groff,groff,, GNU troff text-formatting system (base system components),Standard System Utilities,0,0,0,,
grub-common,grub2,grub,grub,, GRand Unified Bootloader (common files),Standard System Utilities,0,0,0,,
grub-pc,grub2,grub,grub,," GRand Unified Bootloader, version 2 (PC/BIOS version)",Standard System Utilities,0,0,0,,
grub-pc-bin,grub2,grub,grub,," GRand Unified Bootloader, version 2 (PC/BIOS binaries)",Standard System Utilities,0,0,0,,
grub2-common,grub2,grub,grub,, GRand Unified Bootloader (common files for version 2),Standard System Utilities,0,0,0,,
gzip,,gzip,gzip,, GNU compression utilities,Standard System Utilities,0,1,0,"Widely-used compression/decompression.  Vital, a vulnerability here could be very serious. http://www.gnu.org/software/gzip/ Maintained on Savannah (http://savannah.gnu.org/projects/gzip/) using git. Last formal release was years ago (June 2013).  Multiple contributors, but not many. Current git contributions, but only a few a month (2015-02-08, 2015-01-02, 2014-11-10, 2014-10-10), and most seem to be small/trivial (document and syntax tweaks). +++",
hostname,,,,, utility to set/show the host name or domain name,Standard System Utilities,0,0,0,Relatively small functionality.,"originally FSF project, appears to be maintained separately"
iamerican,ispell,,ispell,, American English dictionary for ispell (standard version),Standard System Utilities,0,0,0,,
ibritish,ispell,,ispell,, British English dictionary for ispell (standard version),Standard System Utilities,0,0,0,,
ienglish-common,ispell,,ispell,, Common files for British and American ispell dictionaries,Standard System Utilities,0,0,0,,
ifupdown,,ifupdown-ng,ifupdown-ng,https://api.github.com/repos/kmoffett/ifupdown-ng/issues, high level tools to configure network interfaces,Standard System Utilities,0,0,0,,
info,texinfo,texinfo,texinfo,, Standalone GNU Info documentation browser,Standard System Utilities,0,0,0,,
initramfs-tools,,initramfs-tools,initramfs-tools,, generic modular initramfs generator,Standard System Utilities,0,0,0,,
initscripts,sysvinit,sysvinit,sysvinit,, scripts for initializing and shutting down the system,Standard System Utilities,0,0,0,,
insserv,,sysvinit,sysvinit,, boot sequence organizer using LSB init.d script dependency information,Standard System Utilities,0,0,0,,
install-info,texinfo,texinfo,texinfo,, Manage installed documentation in info format,Standard System Utilities,0,0,0,,
installation-report,,installation-report,installation-report,, system installation report,Standard System Utilities,0,0,0,,
iproute,iproute (20120521-3),iproute-mptcp,iproute, https://api.github.com/repos/multipath-tcp/iproute-mptcp/issues, networking and traffic control tools,Standard System Utilities,0,0,0,,
iptables,,iptables,iptables,, administration tools for packet filtering and NAT,Standard System Utilities,0,0,0,,
iputils-ping,iputils (3:20101006-1),iputils,iputils, https://api.github.com/repos/jsynacek/iputils/issues, Tools to test the reachability of network hosts,Standard System Utilities,0,0,0,,
isc-dhcp-client,isc-dhcp,4273,isc-dhcp,, ISC DHCP client,Standard System Utilities,1,0,0,"In wide use, accepts data from external sources.  Includes dhclient. Very similar to BIND. Perhaps slightly less active, lower developer count, but steady commits and releases. Somewhat critical due to being core network functionality. ++",
isc-dhcp-common,isc-dhcp,4273,isc-dhcp,, common files used by all the isc-dhcp* packages,Standard System Utilities,1,0,0,,
iso-codes,,iso-codes,iso-codes,," ISO language, territory, currency, script codes and their translations",Standard System Utilities,0,0,0,,
ispell,,,ispell,, International Ispell (an interactive spelling corrector),Standard System Utilities,0,0,0,,
kbd,,kbd,kbd,, Linux console font and keytable utilities,Standard System Utilities,0,0,0,,
keyboard-configuration,console-setup, console-setup,console-setup,, system-wide keyboard preferences,Standard System Utilities,0,0,0,,
klibc-utils,klibc,klibc,klibc,, small utilities built with klibc for early boot,Standard System Utilities,0,0,0,,
kmod,,kmod,kmod,, tools for managing Linux kernel modules,Standard System Utilities,0,0,0,,
krb5-locales,krb5,kerberos,krb5, https://api.github.com/repos/krb5/krb5/issues, Internationalization support for MIT Kerberos,Standard System Utilities,0,1,0,Important for Kerberos.,
laptop-detect,,,laptop-detect,, attempt to detect a laptop,Standard System Utilities,0,0,0,Unlikely to be a security vulnerability,
less,,,less,, pager program similar to more,Standard System Utilities,0,0,0,Less likely to be a security vulnerability :-).,
libacl1,acl,,libacl,, Access control list shared library,Standard System Utilities,0,0,1,"Access control-related, so of concern.",
libapt-inst1.5,apt,apt,apt,, deb package format runtime library,Standard System Utilities,0,1,0,"Should primarily be managing data from trusted source; if it ensures data source okay, less risky.",
libapt-pkg4.12,apt,apt,apt,, package managment runtime library,Standard System Utilities,0,1,0,"Should primarily be managing data from trusted source; if it ensures data source okay, less risky.",
libasprintf0c2,gettext,gettext,gettext,, GNU library to use fprintf and friends in C++,Standard System Utilities,0,0,0,,
libattr1,attr,attr,attr,, Extended attribute shared library,Standard System Utilities,0,0,1,Actual acl checking implemented by the kernel.,
libaudit0,audit,,libaudit,, Dynamic library for security auditing,Standard System Utilities,0,0,1,"Audit framework for Debian, many other components depend on it.  Useful for detecting problems. Project infrastructure at Red Hat. SVN repo available. Most recent code change 2 months ago. Mailing lists and IRC exist. v2.4 release 10/2014, plans exist for v2.5 and 2.6. Couldn't find an issue tracker. ++",
libbind9-80,bind9,bind,bind9,, BIND9 Shared Library used by BIND,Standard System Utilities,1,0,0,Bind9 is critical for security. It does have active development. ++,
libblkid1,util-linux,Util-linux-ng,util-linux,, block device id library,Standard System Utilities,0,0,0,,
libboost-iostreams1.49.0,boost1.49,,boost,, Boost.Iostreams Library,Standard System Utilities,0,0,0,,
libbsd0,libbsd,libbsd,libbsd,, utility functions from BSD systems - shared library,Standard System Utilities,0,0,0,,
libbz2-1.0,bzip2,bzip2,bzip2,, high-quality block-sorting file compressor library - runtime,Standard System Utilities,0,1,0,Bzip2 is widely used for decompression of network-supplied data. ++,
libc-bin,eglibc,eglibc,eglibc,, Embedded GNU C Library: Binaries,Standard System Utilities,0,0,0,,
libc-dev-bin,eglibc,eglibc,eglibc,, Embedded GNU C Library: Development binaries,Standard System Utilities,0,0,0,,
libc6,eglibc,eglibc,eglibc,, Embedded GNU C Library: Shared libraries,Standard System Utilities,0,0,0,,
libc6-dev,eglibc,eglibc,eglibc,, Embedded GNU C Library: Development Libraries and Header Files,Standard System Utilities,0,0,0,,
libcap2,,libcap,libcap,, support for getting/setting POSIX.1e capabilities,Standard System Utilities,0,0,1,Implemented by kernel.  Less likely to have issues here.,
libclass-isa-perl,,,libclass,, report the search path for a class's ISA tree,Standard System Utilities,0,0,0,,
libcomerr2,e2fsprogs,e2fsprogs,e2fsprogs,, common error description library,Standard System Utilities,0,0,0,,
libcwidget3,cwidget, cwidget,cwidget,, high-level terminal interface library for C++ (runtime files),Standard System Utilities,0,0,0,,
libdb5.1,db,berkeleydb,berkeleydb,, Berkeley v5.1 Database Libraries [runtime],Standard System Utilities,0,0,0,,
libdevmapper1.02.1,lvm2 (2.02.95-8),lvm2,lvm2,, Linux Kernel Device Mapper userspace library,Standard System Utilities,0,0,0,,
libdiscover2,discover,,discover,, hardware identification library,Standard System Utilities,0,0,0,,
libdns88,bind9,bind,bind9,, DNS Shared Library used by BIND,Standard System Utilities,1,0,0,Bind9 is critical for security. It does have active development. ++,
libdrm-intel1,libdrm, libdrm,libdrm,, Userspace interface to intel-specific kernel DRM services -- runtime,Standard System Utilities,0,0,0,,
libdrm-nouveau1a,libdrm, libdrm,libdrm,, Userspace interface to nouveau-specific kernel DRM services -- runtime,Standard System Utilities,0,0,0,,
libdrm-radeon1,libdrm, libdrm,libdrm,, Userspace interface to radeon-specific kernel DRM services -- runtime,Standard System Utilities,0,0,0,,
libdrm2,libdrm, libdrm,libdrm,, Userspace interface to kernel DRM services -- runtime,Standard System Utilities,0,0,0,,
libedit2,libedit,libedit-merge,libedit,, BSD editline and history libraries,Standard System Utilities,0,0,0,,
libept1.4.12,libept,,libept,, High-level library for managing Debian package information,Standard System Utilities,0,0,0,"Should primarily be managing data from trusted source; if it ensures data source okay, less risky.",
libevent-2.0-5,libevent,libevent,libevent,, Asynchronous event notification library,Standard System Utilities,0,0,0,,
libexpat1,expat,expat,expat,, XML parsing C library - runtime library,Standard System Utilities,0,1,0,"Parses potentially-dangerous data. This is an XML parser library written in C. Maintenance appears to have effectively halted after its 2012 release. Project at: http://www.libexpat.org/ (It was at, http://expat.sourceforge.net/ and its movement is not obvious, so some may be using an older version; this was follow-on from James Clark's original Expat). On 24 March 2012 Expat 2.1.0 released, it includes security vulnerability fixes for 5 CVEs; Previous release was 2007. ""Bug reports"" produces error page - tracking does not seem to work.  No public mailing list. CVS browsing suggests little or no activity after 2012 (and little before that). Many systems build on top of this library. Note that this doesn't support XML 1.1. +++",
libffi5,libffi,11338,libffi,, Foreign Function Interface library runtime,Standard System Utilities,0,1,0,Development tool library. Somewhat less likely to contain vulnerabilities directly.,
libfontenc1,libfontenc,,libfontenc,, X11 font encoding library,Standard System Utilities,0,0,0,Less likely to be a security vulnerability.,
libfreetype6,freetype,freetype,freetype,," FreeType 2 font engine, shared library files",Standard System Utilities,0,1,0,"Dangerous.  Processes data from network, including fonts embedded in websites. Main site http://www.freetype.org/ Last release FreeType 2.5.5, 2014-12-30. Git repo. Very active git repo by multiple contributors. ++",
libfuse2,fuse,fuse,fuse,, Filesystem in Userspace (library),Standard System Utilities,0,0,0,,
libgc1c2,libgc,,libgc,, conservative garbage collector for C and C++,Standard System Utilities,0,0,0,,
libgcc1,gcc-4.7 (4.7.2-5),gcc,gcc,, GCC support library,Standard System Utilities,0,0,0,,
libgcrypt11,,libgcrypt,libgcrypt,, LGPL Crypto library - runtime library,Standard System Utilities,0,1,0,"Crypto library, security-relevant. LGPL crypto library. Part of GnuPG (GNU Privacy Guard). http://ftp.gnupg.org/gcrypt/libgcrypt/. Already selected by CII. ++",
libgdbm3,gdbm,libgdbm,libgdbm,, GNU dbm database routines (runtime version),Standard System Utilities,0,0,0,,
libgeoip1,geoip,geoip,geoip,, non-DNS IP-to-country resolver library,Standard System Utilities,0,1,0,Should not be security-relevant.,
libgl1-mesa-dri,mesa,mesa,mesa,, free implementation of the OpenGL API -- DRI modules,Standard System Utilities,0,0,0,,
libgmp10,gmp,gmp,gmp,, Multiprecision arithmetic library,Standard System Utilities,0,1,0,Multi-precision can be security-relevant if used to process crypto data.,Multiprecision can be used for crypto
libgnutls26,gnutls26,gnutls,gnutls,, GNU TLS library - runtime library,Standard System Utilities,1,0,0,"TLS implementation.  Less used than OpenSSL, but is in use (it avoids OpenSSL licensing issues). Good ""security activity"" metrics, except suspiciously empty GitLab issue tracker, especially when Debian Security page shows many existing vulnerabilities. They may sweep the public issue tracker so as not to expose what they're trying to fix before it's ready. Notably still supporting SSL 3.0, which has known exploits. There is evidence they do stay on top of things, though. They have responded to questions regarding FREAK in their mailing lists, explaining gnutls is not vulnerable due to how it operates. ++",
libgomp1,gcc-4.7,gcc,gcc,, GCC OpenMP (GOMP) support library,Standard System Utilities,0,0,0,,
libgpg-error0,libgpg-error,libgpg-error,libgpg,, library for common error values and messages in GnuPG components,Standard System Utilities,0,1,0,See GNUPG.,
libgpgme11,gpgme1.0,gpgme,gpgme,, GPGME - GnuPG Made Easy,Standard System Utilities,1,0,0,"Vital for protecting email (see gpg) Git repo available. Issue tracker site uses self-signed cert; it's concerning that a user would have to compromise the HTTPS security model just to view and interact with the bug tracker. Openhub doesn't reflect their mailing lists in *multiple languages*. Appears to be actively maintained mostly by one dev, but notably just got donations supporting him for the next 2-3 years. ++",
libgpm2,gpm,gpm,gpm,, General Purpose Mouse - shared library,Standard System Utilities,0,0,0,,
libgssapi-krb5-2,krb5,kerberos,krb5, https://api.github.com/repos/krb5/krb5/issues, MIT Kerberos runtime libraries - krb5 GSS-API Mechanism,Standard System Utilities,1,0,0,"Vital when using Kerberos; unclear how common that is today. (For Windows, may use SAMBA)",
libgssglue1,libgssglue,,libgssglue,, mechanism-switch gssapi library,Standard System Utilities,1,0,0,Vital for systems that use it; amount of use unclear.,https://www.openhub.net/p/perlgssapi Is different from Debian
libice6,libice,libice,libice,, X11 Inter-Client Exchange library,Standard System Utilities,0,0,0,,
libidn11,libidn, libidn,libidn,," GNU Libidn library, implementation of IETF IDN specifications",Standard System Utilities,0,1,0,"Libidn's purpose is to encode and decode internationalized domain names; this data may come straight from attackers (e.g., in web page links, etc.).",Domain names come from external sources in many cases
libisc84,bind9,bind,bind9,, ISC Shared Library used by BIND,Standard System Utilities,0,1,0,"Bind9 is critical for security. It does have active development. Part of bind. http://www.isc.org/products/BIND/ Bind has many mailing lists; ""bind-workers"" is in use though with few messages. Bind Has a way to report bugs, but the buglist is intentionally private (so cannot report on it). Uses git, read-only repo is public https://www.isc.org/git/ - active submission by multiple developers. They have a review process https://www.isc.org/git/bind_developer/ ++",
libisccc80,bind9,bind,bind9,, Command Channel Library used by BIND,Standard System Utilities,0,1,0,"Bind9 is critical for security. It does have active development. Part of bind. http://www.isc.org/products/BIND/ Bind has many mailing lists; ""bind-workers"" is in use though with few messages. Bind Has a way to report bugs, but the buglist is intentionally private (so cannot report on it). Uses git, read-only repo is public https://www.isc.org/git/ - active submission by multiple developers. They have a review process https://www.isc.org/git/bind_developer/ ++",
libisccfg82,bind9,bind,bind9,, Config File Handling Library used by BIND,Standard System Utilities,0,1,0,"Bind9 is critical for security. It does have active development. Part of bind. http://www.isc.org/products/BIND/ Bind has many mailing lists; ""bind-workers"" is in use though with few messages. Bind Has a way to report bugs, but the buglist is intentionally private (so cannot report on it). Uses git, read-only repo is public https://www.isc.org/git/ - active submission by multiple developers. They have a review process https://www.isc.org/git/bind_developer/ ++",
libitm1,gcc-4.7,gcc,gcc,, GNU Transactional Memory Library,Standard System Utilities,0,0,0,,
libk5crypto3,krb5,kerberos,krb5, https://api.github.com/repos/krb5/krb5/issues, MIT Kerberos runtime libraries - Crypto Library,Standard System Utilities,0,1,0,Kerberos.,
libkeyutils1,keyutils,keyutils,keyutils, https://api.github.com/repos/pld-linux/keyutils/issues, Linux Key Management Utilities (library),Standard System Utilities,0,1,0,"Manages authorization and encryption keys required to perform secure operations. Public Repo, NO bug tracker, NO mailing list. ++",
libklibc,klibc,klibc,klibc,, minimal libc subset for use with initramfs,Standard System Utilities,0,0,0,,
libkmod2,kmod,kmod,kmod,, libkmod shared library,Standard System Utilities,0,0,0,,
libkrb5-3,krb5,kerberos,krb5, https://api.github.com/repos/krb5/krb5/issues, MIT Kerberos runtime libraries,Standard System Utilities,1,0,0,"Vital when using Kerberos; unclear how common that is today. (For Windows, may use SAMBA)",
libkrb5support0,krb5,kerberos,krb5, https://api.github.com/repos/krb5/krb5/issues, MIT Kerberos runtime libraries - Support library,Standard System Utilities,0,1,0,Kerberos.,
libldap-2.4-2,openldap,openldap,openldap,, OpenLDAP libraries,Standard System Utilities,1,0,0,"Wide use, vitally important. Very active. Public repo, issue tracker, lists, active development, closing CVEs, the works. This is vitally important, but they appear to have things in hand in terms of project activity. ++",
liblocale-gettext-perl,liblocale-gettext-perl (1.05-7),catatylstgettex,liblocale,, module using libc functions for internationalization in Perl,Standard System Utilities,0,0,0,,
liblockfile-bin,liblockfile,liblockfile,liblockfile, https://api.github.com/repos/pld-linux/liblockfile/issues, support binaries for and cli utilities based on liblockfile,Standard System Utilities,0,0,0,,
liblockfile1,liblockfile,liblockfile,liblockfile, https://api.github.com/repos/pld-linux/liblockfile/issues, NFS-safe locking library,Standard System Utilities,0,0,0,,
liblwres80,bind9,bind,bind9,, Lightweight Resolver Library used by BIND,Standard System Utilities,1,0,0,Bind9 is critical for security. It does have active development. ++,
liblzma5,xz-utils,xz-utils,xz-utils,, XZ-format compression library,Standard System Utilities,0,1,0,"Widely-used compression/decompression.  Vital, a vulnerability here could be very serious. Has Home page, public repo, Fairly active ML http://www.mail-archive.com/xz-devel@tukaani.org/, NO bug tracker ++",
libmagic1,file,file,libmagic,," File type determination library using ""magic"" numbers",Standard System Utilities,0,0,0,,
libmount1,util-linux,util-linux-ng,util-linux,, block device id library,Standard System Utilities,0,0,0,,
libmpc2,mpclib,,mpclib,, multiple precision complex floating-point library,Standard System Utilities,0,0,0,,
libmpfr4,mpfr4,gnu-mpfr,libmpfr,, multiple precision floating-point computation,Standard System Utilities,0,0,0,,
libncurses5,ncurses,ncurses,ncurses,, shared libraries for terminal handling,Standard System Utilities,0,0,0,,
libncursesw5,ncurses,ncurses,ncurses,, shared libraries for terminal handling (wide character support),Standard System Utilities,0,0,0,,
libnewt0.52,newt,newt,newt,, Not Erik's Windowing Toolkit - text mode windowing with slang,Standard System Utilities,0,0,0,,
libnfnetlink0,libnfnetlink,libnfnetlink,libnfnetlink,, Netfilter netlink library,Standard System Utilities,1,0,0,"Typically the user is already trusted, and the runtime for netlink is part of the kernel, so vulnerabilities would typically not be here.",
libnfsidmap2,libnfsidmap,,libnfsidmap,, NFS idmapping library,Standard System Utilities,1,0,0,"Important for NFS, amount of use unclear.",
libp11-kit0,p11-kit,p11-kit,libp11,, Library for loading and coordinating access to PKCS#11 modules - runtime,Standard System Utilities,0,1,0,"Manages security keys. Has Home page, Bug Tracker https://bugs.freedesktop.org/enter_bug.cgi?product=p11-glue, ML http://lists.freedesktop.org/archives/p11-glue/ fairly active ++",
libpam-modules,pam,linux-pam,pam,, Pluggable Authentication Modules for PAM,Standard System Utilities,1,0,0,"Critical central role for authentication.  Real site is http://www.linux-pam.org/ (Debian lists as http://pam.sourceforge.net/ but that points to https://fedorahosted.org/linux-pam/ which points to this). It has a somewhat active mailing list, and an active issue tracker where issues are clearly opened and closed. Stable version is somewhat old (2013); recent changes in git though relatively small (https://git.fedorahosted.org/cgit/linux-pam.git/) ++",
libpam-modules-bin,pam,linux-pam,pam,, Pluggable Authentication Modules for PAM - helper binaries,Standard System Utilities,0,1,0,"Critical central role for authentication.  Real site is http://www.linux-pam.org/ (Debian lists as http://pam.sourceforge.net/ but that points to https://fedorahosted.org/linux-pam/ which points to this). It has a somewhat active mailing list, and an active issue tracker where issues are clearly opened and closed. Stable version is somewhat old (2013); recent changes in git though relatively small (https://git.fedorahosted.org/cgit/linux-pam.git/) ++",
libpam-runtime,pam,linux-pam,pam,, Runtime support for the PAM library,Standard System Utilities,0,1,0,,
libpam0g,pam,linux-pam,pam,, Pluggable Authentication Modules library,Standard System Utilities,1,0,0,Critical central role for authentication; not very active.  Concerning. ++,
libpci3,pciutils,pciutils,pciutils,, Linux PCI Utilities (shared library),Standard System Utilities,0,0,0,,"PCI requires physical access, not just local execution"
